case_id,eia_id,p_state,p_county,ylat,xlong,p_name,p_year,p_tech_pri,p_cap_ac,p_cap_dc,p_type,utility_name
60152,60152,NM,Curry,34.727007,-103.166771,"Broadview Energy KW, LLC",2017,WIND,142.6,,wind farm,Pattern Operators LP
60210,60210,TX,Floyd,34.060333,-101.187628,Cotton Plains Wind Farm,2017,WIND,50.4,,wind farm,"Cotton Plains Wind I, LLC"
60217,60217,TX,Val Verde,29.72753,-100.79431,Rocksprings,2017,WIND,149.3,,wind farm,"Rocksprings Val Verde Wind, LLC"
60218,60218,OK,Kay,36.838884,-97.181015,Frontier Windpower,2016,WIND,200.0,,wind farm,Duke Energy Renewables Services
60256,60256,OK,Beaver,36.552151,-100.587557,Bluestem,2016,WIND,198.0,,wind farm,"Bluestem Wind Energy, LLC"
60259,60259,WY,Converse,42.728198,-105.866765,"Pioneer Wind Park, LLC",2016,WIND,80.0,,wind farm,AES Distributed Energy
60262,60262,NE,Antelope,41.987656,-98.210401,Prairie Breeze II,2015,WIND,73.4,,wind farm,Invenergy Services LLC
60270,60270,TX,Bailey,34.03821,-102.665242,Blue Cloud Wind Energy LLC,2018,WIND,148.4,,wind farm,TC Energy
60271,60271,TX,Scurry,32.631073,-101.008494,"Canyon Wind Project, LLC",2024,WIND,308.8,,wind farm,"Canyon Wind Project, LLC"
60314,60314,NE,Antelope,41.987656,-98.210401,Prairie Breeze III,2016,WIND,35.8,,wind farm,Invenergy Services LLC
60317,60317,NM,Curry,34.734142,-103.092227,"Grady Wind Energy Center, LLC",2019,WIND,220.5,,wind farm,Pattern Operators LP
60326,60326,IA,O'Brien,43.200421,-95.624313,O'Brien Wind,2016,WIND,250.3,,wind farm,MidAmerican Energy Co
60329,60329,PA,Somerset,39.744722,-79.188056,"Ringer Hill Wind Farm, LLC",2016,WIND,39.9,,wind farm,Ringer Hill Wind LLC
60338,60338,TX,Wilbarger,34.102943,-99.118746,Electra Wind Farm,2016,WIND,230.0,,wind farm,"Electra Wind, LLC"
60339,60339,TX,Haskell,33.35,-99.54,Horse Creek Wind Farm,2016,WIND,230.0,,wind farm,"Horse Creek Wind, LLC"
60342,60342,IA,Ida,42.355721,-95.42038,Ida Grove Wind,2016,WIND,301.1,,wind farm,MidAmerican Energy Co
60354,60354,ND,Stark,46.611515,-102.78821,Brady II Wind Energy Center,2016,WIND,150.0,,wind farm,"Brady Wind II, LLC"
60355,60355,ND,Stark,46.646471,-102.765089,Brady Wind Energy Center,2016,WIND,150.0,,wind farm,"Brady Wind, LLC"
60366,60366,TX,Floyd,34.060333,-101.187628,Old Settler Wind,2017,WIND,151.2,,wind farm,"Old Settler Wind, LLC"
60404,60404,ME,Penobscot,44.777337,-68.523419,Pisgah Mountain Wind,2016,WIND,9.1,,wind farm,"Pisgah Mountain, LLC"
60414,60414,TX,Castro,34.575311,-102.474698,Bethel Wind Farm LLC,2017,WIND,276.0,,wind farm,Southern Power Co
60470,60470,OH,Paulding,41.121,-84.751,Paulding Wind Farm III,2016,WIND,100.8,,wind farm,Paulding Wind Farm III LLC
60471,60471,IL,Lee,41.620264,-89.557033,Green River Wind Farm,2019,WIND,194.3,,wind farm,"Green River Wind Farm Phase 1, LLC"
60486,60486,MT,Teton,47.723,-111.963,Greenfield Wind - MT,2016,WIND,25.0,,wind farm,Greenbacker Renewable Energy Corporation
60502,60502,TX,Cooke,33.703851,-97.372009,"Tyler Bluff Wind Project, LLC",2016,WIND,125.6,,wind farm,Southern Power Co
60503,60503,SD,Codington,45.154947,-96.836839,Crowned Ridge Wind Energy Center,2019,WIND,200.1,,wind farm,"Crowned Ridge Wind, LLC"
