feature_type,source,name,operator,capacity_mw,latitude,longitude
generator,wind,,C.V.A. S.p.A.,2.0,42.5043621,11.8473002
generator,wind,,C.V.A. S.p.A.,2.0,42.5068845,11.8201156
generator,wind,,Compagnia Valdostana Acque,2.0,42.4878025,11.8374423
generator,wind,,Compagnia Valdostana Acque,2.0,42.4937564,11.8317316
generator,wind,,C.V.A. S.p.A.,2.0,42.4983469,11.8602645
generator,wind,,C.V.A. S.p.A.,2.0,42.4989025,11.8241715
generator,wind,,C.V.A. S.p.A.,2.0,42.5020442,11.8230079
generator,wind,,,2.0,40.4066662,8.7959667
generator,wind,,,2.0,40.410882,8.794347
generator,wind,,,2.0,40.3739013,8.8152782
generator,wind,,,2.0,40.3745601,8.8097025
generator,wind,,,2.0,40.3770985,8.8053049
generator,wind,,,2.0,40.3780789,8.8154091
generator,wind,,,2.0,40.3790273,8.8101236
generator,wind,,,2.0,40.3797312,8.8006683
generator,wind,,,2.0,40.3810613,8.8059681
generator,wind,,,2.0,40.3822298,8.7963781
generator,wind,,,2.0,40.3827557,8.8143309
generator,wind,,,2.0,40.3840853,8.8019147
generator,wind,,,2.0,40.3852867,8.7923692
generator,wind,,,2.0,40.3874595,8.7985392
generator,wind,,,2.0,40.3875048,8.8145985
generator,wind,,,2.0,40.3894422,8.8039129
generator,wind,,,2.0,40.3901208,8.7939493
generator,wind,,,2.0,40.3914745,8.8157905
generator,wind,,,2.0,40.3921857,8.7993913
generator,wind,,,2.0,40.3923324,8.8078931
generator,wind,,,2.0,40.3932643,8.7899211
generator,wind,,,2.0,40.3940546,8.811205
generator,wind,,,2.0,40.395229,8.7953915
generator,wind,,,2.0,40.3963452,8.801922
generator,wind,,,2.0,40.3968724,8.8069995
generator,wind,,,2.0,40.3971084,8.815226
generator,wind,,,2.0,40.3982821,8.7913929
generator,wind,,,2.0,40.3993932,8.7979181
generator,wind,,,2.0,40.4005063,8.8036003
generator,wind,,,2.0,40.401282,8.8133656
generator,wind,,,2.0,40.4025421,8.7939899
generator,wind,,,2.0,40.4035452,8.8087801
generator,wind,,,2.0,40.4039782,8.8005342
generator,wind,,,2.0,40.4066542,8.8066752
generator,wind,,,2.0,40.4067135,8.8118454
generator,wind,,,2.0,40.4100082,8.7998343
generator,wind,,,2.0,40.4101016,8.8084084
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9608223,17.1211012
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9624923,17.1127831
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9627641,17.1194471
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9647263,17.1252701
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9652859,17.1177912
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9677836,17.1224961
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.968343,17.1286003
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.968888,17.1197254
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9725079,17.1266562
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9755477,17.1239038
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9758301,17.1303278
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.976668,17.1202834
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9777779,17.1288806
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9788796,17.1349862
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9800097,17.1272235
