operator,capacity_mw,place,municipality,province,year_realized,latitude,longitude
Zonnepark Hemmen B.V.,15.55,DODEWAARD,Neder-Betuwe,Gelderland,2024,51.920499449236544,5.6754707451337545
Zonnepark Wenumse Veld B.V.,15.5,APELDOORN,Apeldoorn,Gelderland,2023,52.24978088742821,5.976874020584332
Enzee B.V.,15.5,BORSSELE,Borsele,Zeeland,2020,51.437150752473485,3.716784104485672
BEE VEENDAM B.V.,15.468,VEENDAM,Veendam,Groningen,2018,53.098934299246956,6.877913792575249
Zonnepark Venekoten B.V.,15.462,OOSTERWOLDE FR,Ooststellingwerf,Friesland,2020,52.97016815648779,6.309425117454142
ATTERO Solar Parks WM B.V.,15.322,MONTFORT,Roerdalen,Limburg,2025,51.14257070594137,5.942194513436578
Tpsolar Ficary B.V.,15.309792,EWIJK,Beuningen,Gelderland,2024,51.84691425815269,5.713019439485253
Zonnepark Ter Apelkanaal B.V.,15.3,VLAGTWEDDE,Westerwolde,Groningen,2021,52.9221907433397,7.061887497690862
Zonpv Beuningen B.V.,15.282,BEUNINGEN GLD,Beuningen,Gelderland,2023,51.848729858365814,5.7495566650902825
Zonnepark Haardijk Hardenberg B.V.,15.263,HARDENBERG,Hardenberg,Overijssel,2023,52.57901301291402,6.582151188917172
Zonnepark De Wildert B.V.,15.251,DONGEN,Dongen,Noord-Brabant,2022,51.6149869129344,4.988684053317308
Zonnig Berkelland Dievelman B.V.,15.214,BORCULO,Berkelland,Gelderland,2023,52.10145046184969,6.542254980560401
BEE SP Andijk Zuid B.V.,15.124,ANDIJK,Medemblik,Noord-Holland,2018,52.737503916769874,5.228336494064372
KS NL4 B.V.,15.119,ENSCHEDE,Enschede,Overijssel,2021,52.19840258118097,6.94644168460411
Zonnepark Tynaarlo B.V.,15.072,TYNAARLO,Tynaarlo,Drenthe,2019,53.08897085389753,6.633757540310017
FP Lux REIO PV Netherlands 't Goy B.V.,15.006,'T GOY,Houten,Utrecht,2020,51.99903500009959,5.216496999874114
Zonnepark Schoorlemmer Pekela Duurzaam B.V.,15,OUDE PEKELA,Pekela,Groningen,2023,53.10876577736467,6.993630078990424
Bee Groene Hoek B.V.,14.976,HOOFDDORP,Haarlemmermeer,Noord-Holland,2018,52.30129803949357,4.720857727310011
Zonnepark Hattemerbroek B.V.,14.80512,OLDEBROEK,Oldebroek,Gelderland,2023,52.48740884936187,6.01512996787992
Solar-Ep VII B.V.,14.79,TINTE,Voorne aan Zee,Zuid-Holland,2023,51.90071890384729,4.139637046752765
innogy Solar Netherlands B.V.,14.7,KERKRADE,Kerkrade,Limburg,2021,50.84712962602899,6.014130151045104
Zonnepark Werkhoven B.V.,14.55786,WERKHOVEN,Bunnik,Utrecht,2025,52.0319065698844,5.228992354438293
Zonnepark PV1 B.V.,14.52,ZWOLLE,Zwolle,Overijssel,2020,52.48379042839282,6.141155639417811
Zonnepark Het Broek B.V.,14.5,BEUNINGEN GLD,Beuningen,Gelderland,2025,51.84063945725872,5.759523263757541
Zonnepark Hijken B.V.,14.3,HIJKEN,Midden-Drenthe,Drenthe,2021,52.88399692937615,6.5185791505587
***,14.203,MIDDELBURG,Middelburg,Zeeland,2018,51.47819115137468,3.621379489278128
Zonnig Berkelland Boksveenweg B.V.,14.154,EIBERGEN,Berkelland,Gelderland,2023,52.05913474888817,6.667190611275183
KS NL28 B.V.,14.152,NEEDE,Berkelland,Gelderland,2024,52.134700373993915,6.562222862344597
Zonnig Hoevelaken B.V.,14.146,AMERSFOORT,Amersfoort,Utrecht,2022,52.1659554680447,5.440164441561253
Solar Power Heerenveen B.V.,14.081,HEERENVEEN,Heerenveen,Friesland,2020,52.927718785375404,5.947370447058568
Zonnepark Zierikzee B.V.,14.07564,ZIERIKZEE,Schouwen-Duiveland,Zeeland,2019,51.63902579845557,3.917614860967847
Dutch Durables Energy 3 B.V.,14.073,HERNEN,Wijchen,Gelderland,2022,51.84103181858559,5.688448838177027
